player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
kRQa22wjMK,Pedro Gallese,1990-02-23,Peru,GK,GK,,,"['2020', '2021', '2022', '2023', '2024']",6.0,2.0,174.0,mls
kRQa2AvjMK,Evander,1998-06-09,Brazil,MF,AM,,,"['2023', '2024']",5.0,10.0,161.0,mls
kRQa2D9oMK,Justin Fiddes,1996-01-03,USA,,,,,{},5.0,11.0,159.0,mls
kRQa2dnkMK,Danilo Acosta,1997-11-17,Honduras,DF,FB,,,"['2017', '2018', '2019', '2021']",5.0,11.0,170.0,mls
kRQa2EGYMK,Tomas Gomez,1993-05-20,USA,,,,,{},,,,mls
kRQa2j0LMK,Kyle Smith,1992-01-09,USA,DF,FB,,,"['2019', '2020', '2021', '2022', '2023', '2024']",6.0,1.0,181.0,mls
kRQa2kY8MK,Matthew Hundley,2000-05-11,USA,,,,,{},5.0,10.0,163.0,mls
kRQa2L2LMK,Evan Louro,1996-01-19,USA,GK,GK,,,2024,6.0,3.0,225.0,mls
kRQa2LebMK,Dayne St. Clair,1997-05-09,Canada,GK,GK,,,"['2020', '2021', '2022', '2023', '2024']",6.0,3.0,165.0,mls
kRQa2NpbMK,Aidan Daniels,1998-09-06,Canada,MF,W,,,2018,5.0,9.0,165.0,mls
kRQa2nZkMK,Ross Friedman,1992-01-08,USA,,,,,{},5.0,9.0,157.0,mls
kRQa2oe8MK,Brian Wright,1995-03-24,Canada,FW,ST,,,"['2017', '2018', '2019']",6.0,0.0,192.0,mls
kRQa2okMKZ,Alessandro Nesta,1976-03-19,Italy,DF,CB,,,2013,6.0,1.0,176.0,mls
kRQa2xy8MK,Abdi Mohamed,1996-10-25,Kenya,,,,,{},5.0,11.0,150.0,mls
kRQa7Ro5KZ,Dani Fragoso,1982-03-31,Spain,FW,ST,,,2014,5.0,8.0,161.0,mls
kRQab9e8MK,Jared Watts,1992-02-03,USA,DF,CB,,,"['2014', '2015', '2016', '2017', '2018']",6.0,1.0,157.0,mls
kRQabgWgMK,Marquinhos Pedroso,1993-10-04,Brazil,DF,FB,,,"['2018', '2019']",5.0,9.0,161.0,mls
kRQabJDgMK,Wandrille Lefevre,1989-12-17,France,DF,CB,,,"['2013', '2014', '2015', '2016', '2017']",6.0,1.0,176.0,mls
kRQabLv8MK,Andrés Ricaurte,1991-10-03,Colombia,MF,AM,,DM,"['2020', '2021']",6.0,0.0,148.0,mls
kRQabo8gMK,Perry Kitchen,1992-02-29,USA,MF,CM,,DM,"['2013', '2014', '2015', '2018', '2019', '2020', '2021']",6.0,0.0,161.0,mls
kRQabOD8MK,Sebastian Velasquez,1991-02-11,Colombia,MF,CM,,,"['2013', '2014', '2015']",5.0,7.0,157.0,mls
kRQabOROMK,Jun Marques Davidson,1983-06-07,Japan,MF,DM,,,2013,6.0,2.0,165.0,mls
